2017SegmentationCaseKey,RespondentID,SegmentCode,CustomerType,SpendingRange,Visit,Spending,BrandType,PPA,dwh_create_date
661,107227,Seg.01,Mass,0 - 25000,10,70000,Street,7000,2025-09-20 14:28:49.383000000
662,107298,Seg.01,Mass,0 - 25000,25,300000,Independent,12000,2025-09-20 14:28:49.383000000
663,107298,Seg.01,Mass,0 - 25000,5,50000,Street,10000,2025-09-20 14:28:49.383000000
664,107309,Seg.01,Mass,0 - 25000,3,18000,Street,6000,2025-09-20 14:28:49.383000000
665,107324,Seg.01,Mass,0 - 25000,30,210000,Street,7000,2025-09-20 14:28:49.383000000
666,107342,Seg.01,Mass,0 - 25000,10,70000,Street,7000,2025-09-20 14:28:49.383000000
667,107342,Seg.01,Mass,0 - 25000,20,200000,Independent,10000,2025-09-20 14:28:49.383000000
668,107385,Seg.01,Mass,0 - 25000,30,300000,Independent,10000,2025-09-20 14:28:49.383000000
669,107394,Seg.01,Mass,0 - 25000,10,70000,Street,7000,2025-09-20 14:28:49.383000000
670,107394,Seg.01,Mass,0 - 25000,2,20000,Independent,10000,2025-09-20 14:28:49.383000000
671,107398,Seg.01,Mass,0 - 25000,2,14000,Street,7000,2025-09-20 14:28:49.383000000
672,107424,Seg.01,Mass,0 - 25000,3,30000,Independent,10000,2025-09-20 14:28:49.383000000
673,107513,Seg.01,Mass,0 - 25000,4,60000,Independent,15000,2025-09-20 14:28:49.383000000
674,107577,Seg.02,Mass Asp,25000 - 59000,2,70000,Chain,35000,2025-09-20 14:28:49.383000000
675,107619,Seg.01,Mass,0 - 25000,4,40000,Street,10000,2025-09-20 14:28:49.383000000
676,107620,Seg.01,Mass,0 - 25000,30,300000,Street,10000,2025-09-20 14:28:49.383000000
677,107621,Seg.01,Mass,0 - 25000,2,30000,Street,15000,2025-09-20 14:28:49.383000000
678,107622,Seg.01,Mass,0 - 25000,30,450000,Street,15000,2025-09-20 14:28:49.383000000
679,107623,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
680,107625,Seg.02,Mass Asp,25000 - 59000,8,400000,Chain,50000,2025-09-20 14:28:49.383000000
681,107627,Seg.01,Mass,0 - 25000,3,30000,Street,10000,2025-09-20 14:28:49.383000000
682,107628,Seg.02,Mass Asp,25000 - 59000,1,25000,Independent,25000,2025-09-20 14:28:49.383000000
683,107628,Seg.02,Mass Asp,25000 - 59000,3,135000,Chain,45000,2025-09-20 14:28:49.383000000
684,107629,Seg.01,Mass,0 - 25000,20,140000,Independent,7000,2025-09-20 14:28:49.383000000
685,107629,Seg.01,Mass,0 - 25000,10,120000,Chain,12000,2025-09-20 14:28:49.383000000
686,107635,Seg.01,Mass,0 - 25000,5,60000,Street,12000,2025-09-20 14:28:49.383000000
687,107635,Seg.02,Mass Asp,25000 - 59000,5,140000,Independent,28000,2025-09-20 14:28:49.383000000
688,107636,Seg.01,Mass,0 - 25000,2,18000,Street,9000,2025-09-20 14:28:49.383000000
689,107656,Seg.01,Mass,0 - 25000,10,120000,Independent,12000,2025-09-20 14:28:49.383000000
690,107656,Seg.01,Mass,0 - 25000,20,140000,Street,7000,2025-09-20 14:28:49.383000000
691,107665,Seg.01,Mass,0 - 25000,30,450000,Street,15000,2025-09-20 14:28:49.383000000
692,107749,Seg.01,Mass,0 - 25000,14,280000,Independent,20000,2025-09-20 14:28:49.383000000
693,107776,Seg.01,Mass,0 - 25000,6,42000,Street,7000,2025-09-20 14:28:49.383000000
694,107776,Seg.01,Mass,0 - 25000,10,100000,Independent,10000,2025-09-20 14:28:49.383000000
695,107792,Seg.01,Mass,0 - 25000,10,70000,Independent,7000,2025-09-20 14:28:49.383000000
696,107799,Seg.01,Mass,0 - 25000,8,96000,Independent,12000,2025-09-20 14:28:49.383000000
697,107811,Seg.01,Mass,0 - 25000,30,300000,Independent,10000,2025-09-20 14:28:49.383000000
698,107814,Seg.01,Mass,0 - 25000,10,100000,Independent,10000,2025-09-20 14:28:49.383000000
699,107814,Seg.01,Mass,0 - 25000,20,140000,Street,7000,2025-09-20 14:28:49.383000000
700,107908,Seg.01,Mass,0 - 25000,30,450000,Independent,15000,2025-09-20 14:28:49.383000000
701,107920,Seg.01,Mass,0 - 25000,30,210000,Street,7000,2025-09-20 14:28:49.383000000
702,107953,Seg.01,Mass,0 - 25000,25,500000,Chain,20000,2025-09-20 14:28:49.383000000
703,107953,Seg.01,Mass,0 - 25000,5,50000,Independent,10000,2025-09-20 14:28:49.383000000
704,107988,Seg.01,Mass,0 - 25000,4,28000,Street,7000,2025-09-20 14:28:49.383000000
705,107991,Seg.01,Mass,0 - 25000,10,180000,Independent,18000,2025-09-20 14:28:49.383000000
706,107998,Seg.01,Mass,0 - 25000,60,600000,Independent,10000,2025-09-20 14:28:49.383000000
707,108015,Seg.04,Super Premium,100000+,2,200000,Chain,100000,2025-09-20 14:28:49.383000000
708,108082,Seg.01,Mass,0 - 25000,4,28000,Street,7000,2025-09-20 14:28:49.383000000
709,108088,Seg.03,Premium,60000 - 99000,8,640000,Chain,80000,2025-09-20 14:28:49.383000000
710,108091,Seg.01,Mass,0 - 25000,5,50000,Chain,10000,2025-09-20 14:28:49.383000000
711,108091,Seg.01,Mass,0 - 25000,10,100000,Independent,10000,2025-09-20 14:28:49.383000000
712,108111,Seg.01,Mass,0 - 25000,10,100000,Independent,10000,2025-09-20 14:28:49.383000000
713,108111,Seg.01,Mass,0 - 25000,20,140000,Street,7000,2025-09-20 14:28:49.383000000
714,108115,Seg.01,Mass,0 - 25000,10,180000,Independent,18000,2025-09-20 14:28:49.383000000
715,108116,Seg.01,Mass,0 - 25000,11,110000,Independent,10000,2025-09-20 14:28:49.383000000
716,108116,Seg.02,Mass Asp,25000 - 59000,1,25000,Chain,25000,2025-09-20 14:28:49.383000000
717,108138,Seg.01,Mass,0 - 25000,4,28000,Street,7000,2025-09-20 14:28:49.383000000
718,108145,Seg.01,Mass,0 - 25000,2,14000,Street,7000,2025-09-20 14:28:49.383000000
719,108146,Seg.01,Mass,0 - 25000,2,14000,Street,7000,2025-09-20 14:28:49.383000000
720,108148,Seg.01,Mass,0 - 25000,10,150000,Chain,15000,2025-09-20 14:28:49.383000000
721,108150,Seg.02,Mass Asp,25000 - 59000,3,120000,Chain,40000,2025-09-20 14:28:49.383000000
722,108150,Seg.02,Mass Asp,25000 - 59000,5,150000,Independent,30000,2025-09-20 14:28:49.383000000
723,108152,Seg.02,Mass Asp,25000 - 59000,1,30000,Street,30000,2025-09-20 14:28:49.383000000
724,108152,Seg.02,Mass Asp,25000 - 59000,8,320000,Independent,40000,2025-09-20 14:28:49.383000000
725,108152,Seg.03,Premium,60000 - 99000,3,180000,Chain,60000,2025-09-20 14:28:49.383000000
726,108153,Seg.03,Premium,60000 - 99000,6,360000,Chain,60000,2025-09-20 14:28:49.383000000
727,108153,Seg.02,Mass Asp,25000 - 59000,2,80000,Independent,40000,2025-09-20 14:28:49.383000000
728,108154,Seg.01,Mass,0 - 25000,2,36000,Street,18000,2025-09-20 14:28:49.383000000
729,108154,Seg.02,Mass Asp,25000 - 59000,1,29000,Chain,29000,2025-09-20 14:28:49.383000000
730,108154,Seg.01,Mass,0 - 25000,1,18000,Independent,18000,2025-09-20 14:28:49.383000000
731,108221,Seg.01,Mass,0 - 25000,5,35000,Street,7000,2025-09-20 14:28:49.383000000
732,108226,Seg.01,Mass,0 - 25000,4,60000,Street,15000,2025-09-20 14:28:49.383000000
733,108253,Seg.01,Mass,0 - 25000,4,28000,Street,7000,2025-09-20 14:28:49.383000000
734,108255,Seg.01,Mass,0 - 25000,10,70000,Street,7000,2025-09-20 14:28:49.383000000
735,108255,Seg.01,Mass,0 - 25000,20,200000,Independent,10000,2025-09-20 14:28:49.383000000
736,108257,Seg.01,Mass,0 - 25000,8,80000,Independent,10000,2025-09-20 14:28:49.383000000
737,108257,Seg.01,Mass,0 - 25000,22,154000,Street,7000,2025-09-20 14:28:49.383000000
738,108258,Seg.01,Mass,0 - 25000,8,48000,Street,6000,2025-09-20 14:28:49.383000000
739,108297,Seg.01,Mass,0 - 25000,12,120000,Independent,10000,2025-09-20 14:28:49.383000000
740,108441,Seg.01,Mass,0 - 25000,30,300000,Independent,10000,2025-09-20 14:28:49.383000000
741,108548,Seg.01,Mass,0 - 25000,22,154000,Street,7000,2025-09-20 14:28:49.383000000
742,108548,Seg.01,Mass,0 - 25000,8,96000,Independent,12000,2025-09-20 14:28:49.383000000
743,108596,Seg.02,Mass Asp,25000 - 59000,2,50000,Street,25000,2025-09-20 14:28:49.383000000
744,108596,Seg.02,Mass Asp,25000 - 59000,8,200000,Independent,25000,2025-09-20 14:28:49.383000000
745,108597,Seg.02,Mass Asp,25000 - 59000,1,25000,Independent,25000,2025-09-20 14:28:49.383000000
746,108597,Seg.02,Mass Asp,25000 - 59000,3,75000,Street,25000,2025-09-20 14:28:49.383000000
747,108598,Seg.03,Premium,60000 - 99000,1,60000,Chain,60000,2025-09-20 14:28:49.383000000
748,108598,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
749,108599,Seg.02,Mass Asp,25000 - 59000,2,70000,Independent,35000,2025-09-20 14:28:49.383000000
750,108600,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
751,108653,Seg.02,Mass Asp,25000 - 59000,8,200000,Independent,25000,2025-09-20 14:28:49.383000000
752,108653,Seg.01,Mass,0 - 25000,22,220000,Street,10000,2025-09-20 14:28:49.383000000
753,108654,Seg.01,Mass,0 - 25000,3,45000,Independent,15000,2025-09-20 14:28:49.383000000
754,108654,Seg.02,Mass Asp,25000 - 59000,1,30000,Chain,30000,2025-09-20 14:28:49.383000000
755,108655,Seg.01,Mass,0 - 25000,10,100000,Street,10000,2025-09-20 14:28:49.383000000
756,108655,Seg.01,Mass,0 - 25000,20,400000,Independent,20000,2025-09-20 14:28:49.383000000
757,108656,Seg.02,Mass Asp,25000 - 59000,8,280000,Chain,35000,2025-09-20 14:28:49.383000000
758,108669,Seg.02,Mass Asp,25000 - 59000,2,70000,Independent,35000,2025-09-20 14:28:49.383000000
759,108670,Seg.03,Premium,60000 - 99000,4,240000,Chain,60000,2025-09-20 14:28:49.383000000
760,108672,Seg.02,Mass Asp,25000 - 59000,3,105000,Chain,35000,2025-09-20 14:28:49.383000000
761,108719,Seg.01,Mass,0 - 25000,4,60000,Independent,15000,2025-09-20 14:28:49.383000000
762,108723,Seg.01,Mass,0 - 25000,8,96000,Independent,12000,2025-09-20 14:28:49.383000000
763,108724,Seg.01,Mass,0 - 25000,2,40000,Independent,20000,2025-09-20 14:28:49.383000000
764,108726,Seg.01,Mass,0 - 25000,8,120000,Independent,15000,2025-09-20 14:28:49.383000000
765,108888,Seg.02,Mass Asp,25000 - 59000,4,100000,Street,25000,2025-09-20 14:28:49.383000000
766,108889,Seg.01,Mass,0 - 25000,2,40000,Street,20000,2025-09-20 14:28:49.383000000
767,108891,Seg.02,Mass Asp,25000 - 59000,8,312000,Chain,39000,2025-09-20 14:28:49.383000000
768,108892,Seg.01,Mass,0 - 25000,4,80000,Street,20000,2025-09-20 14:28:49.383000000
769,108893,Seg.01,Mass,0 - 25000,8,192000,Street,24000,2025-09-20 14:28:49.383000000
770,108894,Seg.02,Mass Asp,25000 - 59000,3,135000,Chain,45000,2025-09-20 14:28:49.383000000
771,108895,Seg.02,Mass Asp,25000 - 59000,9,405000,Chain,45000,2025-09-20 14:28:49.383000000
772,108898,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
773,108899,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
774,108899,Seg.03,Premium,60000 - 99000,8,560000,Chain,70000,2025-09-20 14:28:49.383000000
775,108903,Seg.02,Mass Asp,25000 - 59000,12,480000,Independent,40000,2025-09-20 14:28:49.383000000
776,108905,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
777,108980,Seg.02,Mass Asp,25000 - 59000,2,70000,Independent,35000,2025-09-20 14:28:49.383000000
778,108981,Seg.01,Mass,0 - 25000,2,20000,Street,10000,2025-09-20 14:28:49.383000000
779,108981,Seg.02,Mass Asp,25000 - 59000,13,520000,Independent,40000,2025-09-20 14:28:49.383000000
780,108982,Seg.02,Mass Asp,25000 - 59000,3,120000,Chain,40000,2025-09-20 14:28:49.383000000
781,108982,Seg.02,Mass Asp,25000 - 59000,7,210000,Independent,30000,2025-09-20 14:28:49.383000000
782,108983,Seg.02,Mass Asp,25000 - 59000,20,600000,Independent,30000,2025-09-20 14:28:49.383000000
783,108984,Seg.02,Mass Asp,25000 - 59000,3,90000,Chain,30000,2025-09-20 14:28:49.383000000
784,109039,Seg.02,Mass Asp,25000 - 59000,10,300000,Street,30000,2025-09-20 14:28:49.383000000
785,109040,Seg.01,Mass,0 - 25000,20,400000,Street,20000,2025-09-20 14:28:49.383000000
786,109041,Seg.01,Mass,0 - 25000,3,60000,Street,20000,2025-09-20 14:28:49.383000000
787,109110,Seg.01,Mass,0 - 25000,8,56000,Street,7000,2025-09-20 14:28:49.383000000
788,109132,Seg.02,Mass Asp,25000 - 59000,2,100000,Chain,50000,2025-09-20 14:28:49.383000000
789,109134,Seg.02,Mass Asp,25000 - 59000,4,160000,Independent,40000,2025-09-20 14:28:49.383000000
790,109135,Seg.01,Mass,0 - 25000,10,200000,Independent,20000,2025-09-20 14:28:49.383000000
791,109135,Seg.01,Mass,0 - 25000,6,60000,Street,10000,2025-09-20 14:28:49.383000000
792,109136,Seg.01,Mass,0 - 25000,4,80000,Independent,20000,2025-09-20 14:28:49.383000000
793,109137,Seg.02,Mass Asp,25000 - 59000,1,25000,Independent,25000,2025-09-20 14:28:49.383000000
794,109137,Seg.01,Mass,0 - 25000,1,10000,Street,10000,2025-09-20 14:28:49.383000000
795,109162,Seg.03,Premium,60000 - 99000,4,280000,Chain,70000,2025-09-20 14:28:49.383000000
796,109163,Seg.01,Mass,0 - 25000,30,450000,Independent,15000,2025-09-20 14:28:49.383000000
797,109164,Seg.02,Mass Asp,25000 - 59000,3,150000,Independent,50000,2025-09-20 14:28:49.383000000
798,109165,Seg.03,Premium,60000 - 99000,4,280000,Chain,70000,2025-09-20 14:28:49.383000000
799,109166,Seg.02,Mass Asp,25000 - 59000,2,80000,Independent,40000,2025-09-20 14:28:49.383000000
800,109168,Seg.02,Mass Asp,25000 - 59000,3,150000,Chain,50000,2025-09-20 14:28:49.383000000
801,109169,Seg.03,Premium,60000 - 99000,4,320000,Chain,80000,2025-09-20 14:28:49.383000000
802,109172,Seg.01,Mass,0 - 25000,4,60000,Street,15000,2025-09-20 14:28:49.383000000
803,109172,Seg.02,Mass Asp,25000 - 59000,16,480000,Independent,30000,2025-09-20 14:28:49.383000000
804,109174,Seg.01,Mass,0 - 25000,20,400000,Independent,20000,2025-09-20 14:28:49.383000000
805,109174,Seg.01,Mass,0 - 25000,10,170000,Street,17000,2025-09-20 14:28:49.383000000
806,109195,Seg.02,Mass Asp,25000 - 59000,4,120000,Independent,30000,2025-09-20 14:28:49.383000000
807,109196,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
808,109198,Seg.02,Mass Asp,25000 - 59000,1,50000,Chain,50000,2025-09-20 14:28:49.383000000
809,109198,Seg.02,Mass Asp,25000 - 59000,3,90000,Independent,30000,2025-09-20 14:28:49.383000000
810,109199,Seg.02,Mass Asp,25000 - 59000,7,315000,Chain,45000,2025-09-20 14:28:49.383000000
811,109200,Seg.02,Mass Asp,25000 - 59000,6,270000,Chain,45000,2025-09-20 14:28:49.383000000
812,109201,Seg.02,Mass Asp,25000 - 59000,4,180000,Chain,45000,2025-09-20 14:28:49.383000000
813,109202,Seg.02,Mass Asp,25000 - 59000,4,160000,Chain,40000,2025-09-20 14:28:49.383000000
814,109203,Seg.02,Mass Asp,25000 - 59000,4,140000,Independent,35000,2025-09-20 14:28:49.383000000
815,109205,Seg.02,Mass Asp,25000 - 59000,3,150000,Chain,50000,2025-09-20 14:28:49.383000000
816,109206,Seg.01,Mass,0 - 25000,3,60000,Independent,20000,2025-09-20 14:28:49.383000000
817,109207,Seg.01,Mass,0 - 25000,2,28000,Street,14000,2025-09-20 14:28:49.383000000
818,109208,Seg.01,Mass,0 - 25000,1,15000,Independent,15000,2025-09-20 14:28:49.383000000
819,109208,Seg.01,Mass,0 - 25000,3,30000,Street,10000,2025-09-20 14:28:49.383000000
820,109209,Seg.02,Mass Asp,25000 - 59000,8,200000,Street,25000,2025-09-20 14:28:49.383000000
821,109210,Seg.02,Mass Asp,25000 - 59000,4,200000,Independent,50000,2025-09-20 14:28:49.383000000
822,109211,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
823,109212,Seg.02,Mass Asp,25000 - 59000,4,140000,Independent,35000,2025-09-20 14:28:49.383000000
824,109213,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
825,109215,Seg.04,Super Premium,100000+,3,300000,Independent,100000,2025-09-20 14:28:49.383000000
826,109216,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
827,109217,Seg.02,Mass Asp,25000 - 59000,3,90000,Independent,30000,2025-09-20 14:28:49.383000000
828,109218,Seg.02,Mass Asp,25000 - 59000,4,180000,Chain,45000,2025-09-20 14:28:49.383000000
829,109219,Seg.01,Mass,0 - 25000,2,40000,Independent,20000,2025-09-20 14:28:49.383000000
830,109220,Seg.01,Mass,0 - 25000,8,120000,Street,15000,2025-09-20 14:28:49.383000000
831,109221,Seg.01,Mass,0 - 25000,2,30000,Street,15000,2025-09-20 14:28:49.383000000
832,109222,Seg.02,Mass Asp,25000 - 59000,8,200000,Independent,25000,2025-09-20 14:28:49.383000000
833,109223,Seg.02,Mass Asp,25000 - 59000,10,250000,Independent,25000,2025-09-20 14:28:49.383000000
834,109224,Seg.02,Mass Asp,25000 - 59000,1,25000,Street,25000,2025-09-20 14:28:49.383000000
835,109224,Seg.03,Premium,60000 - 99000,2,120000,Chain,60000,2025-09-20 14:28:49.383000000
836,109225,Seg.03,Premium,60000 - 99000,4,340000,Chain,85000,2025-09-20 14:28:49.383000000
837,109228,Seg.02,Mass Asp,25000 - 59000,2,80000,Independent,40000,2025-09-20 14:28:49.383000000
838,109228,Seg.03,Premium,60000 - 99000,1,70000,Chain,70000,2025-09-20 14:28:49.383000000
839,109229,Seg.02,Mass Asp,25000 - 59000,2,100000,Chain,50000,2025-09-20 14:28:49.383000000
840,109229,Seg.01,Mass,0 - 25000,6,120000,Independent,20000,2025-09-20 14:28:49.383000000
841,109236,Seg.01,Mass,0 - 25000,30,300000,Independent,10000,2025-09-20 14:28:49.383000000
842,109237,Seg.01,Mass,0 - 25000,16,192000,Street,12000,2025-09-20 14:28:49.383000000
843,109256,Seg.01,Mass,0 - 25000,26,390000,Independent,15000,2025-09-20 14:28:49.383000000
844,109256,Seg.02,Mass Asp,25000 - 59000,4,120000,Chain,30000,2025-09-20 14:28:49.383000000
845,109257,Seg.01,Mass,0 - 25000,2,40000,Independent,20000,2025-09-20 14:28:49.383000000
846,109258,Seg.02,Mass Asp,25000 - 59000,2,100000,Chain,50000,2025-09-20 14:28:49.383000000
847,109258,Seg.02,Mass Asp,25000 - 59000,1,30000,Independent,30000,2025-09-20 14:28:49.383000000
848,109259,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
849,109260,Seg.02,Mass Asp,25000 - 59000,3,90000,Independent,30000,2025-09-20 14:28:49.383000000
850,109261,Seg.01,Mass,0 - 25000,28,560000,Chain,20000,2025-09-20 14:28:49.383000000
851,109261,Seg.01,Mass,0 - 25000,2,40000,Independent,20000,2025-09-20 14:28:49.383000000
852,109263,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
853,109264,Seg.02,Mass Asp,25000 - 59000,3,117000,Chain,39000,2025-09-20 14:28:49.383000000
854,109267,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
855,109267,Seg.02,Mass Asp,25000 - 59000,1,40000,Chain,40000,2025-09-20 14:28:49.383000000
856,109350,Seg.01,Mass,0 - 25000,30,330000,Independent,11000,2025-09-20 14:28:49.383000000
857,109372,Seg.01,Mass,0 - 25000,30,450000,Independent,15000,2025-09-20 14:28:49.383000000
858,109419,Seg.01,Mass,0 - 25000,20,240000,Street,12000,2025-09-20 14:28:49.383000000
859,109419,Seg.02,Mass Asp,25000 - 59000,10,250000,Independent,25000,2025-09-20 14:28:49.383000000
860,109444,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
861,109445,Seg.02,Mass Asp,25000 - 59000,4,120000,Independent,30000,2025-09-20 14:28:49.383000000
862,109446,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
863,109462,Seg.01,Mass,0 - 25000,1,6000,Street,6000,2025-09-20 14:28:49.383000000
864,109462,Seg.01,Mass,0 - 25000,9,72000,Independent,8000,2025-09-20 14:28:49.383000000
865,109545,Seg.01,Mass,0 - 25000,5,75000,Street,15000,2025-09-20 14:28:49.383000000
866,109545,Seg.02,Mass Asp,25000 - 59000,3,75000,Independent,25000,2025-09-20 14:28:49.383000000
867,109723,Seg.01,Mass,0 - 25000,12,120000,Street,10000,2025-09-20 14:28:49.383000000
868,109723,Seg.01,Mass,0 - 25000,8,160000,Independent,20000,2025-09-20 14:28:49.383000000
869,109724,Seg.01,Mass,0 - 25000,20,240000,Street,12000,2025-09-20 14:28:49.383000000
870,109724,Seg.02,Mass Asp,25000 - 59000,10,350000,Chain,35000,2025-09-20 14:28:49.383000000
871,109732,Seg.01,Mass,0 - 25000,6,90000,Street,15000,2025-09-20 14:28:49.383000000
872,109732,Seg.01,Mass,0 - 25000,4,72000,Chain,18000,2025-09-20 14:28:49.383000000
873,109780,Seg.03,Premium,60000 - 99000,4,320000,Chain,80000,2025-09-20 14:28:49.383000000
874,109810,Seg.01,Mass,0 - 25000,4,80000,Chain,20000,2025-09-20 14:28:49.383000000
875,109810,Seg.01,Mass,0 - 25000,6,72000,Street,12000,2025-09-20 14:28:49.383000000
876,109819,Seg.01,Mass,0 - 25000,6,72000,Street,12000,2025-09-20 14:28:49.383000000
877,109819,Seg.01,Mass,0 - 25000,2,40000,Independent,20000,2025-09-20 14:28:49.383000000
878,109849,Seg.01,Mass,0 - 25000,1,20000,Street,20000,2025-09-20 14:28:49.383000000
879,109849,Seg.02,Mass Asp,25000 - 59000,1,35000,Chain,35000,2025-09-20 14:28:49.383000000
880,109919,Seg.01,Mass,0 - 25000,8,112000,Street,14000,2025-09-20 14:28:49.383000000
881,109919,Seg.01,Mass,0 - 25000,14,280000,Independent,20000,2025-09-20 14:28:49.383000000
882,109920,Seg.01,Mass,0 - 25000,3,42000,Street,14000,2025-09-20 14:28:49.383000000
883,109920,Seg.02,Mass Asp,25000 - 59000,5,140000,Independent,28000,2025-09-20 14:28:49.383000000
884,109922,Seg.01,Mass,0 - 25000,1,18000,Independent,18000,2025-09-20 14:28:49.383000000
885,109922,Seg.01,Mass,0 - 25000,3,45000,Street,15000,2025-09-20 14:28:49.383000000
886,109948,Seg.01,Mass,0 - 25000,30,450000,Street,15000,2025-09-20 14:28:49.383000000
887,109951,Seg.01,Mass,0 - 25000,6,90000,Street,15000,2025-09-20 14:28:49.383000000
888,109951,Seg.02,Mass Asp,25000 - 59000,2,80000,Chain,40000,2025-09-20 14:28:49.383000000
889,109994,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
890,109995,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
891,110044,Seg.01,Mass,0 - 25000,8,160000,Independent,20000,2025-09-20 14:28:49.383000000
892,110051,Seg.01,Mass,0 - 25000,4,80000,Independent,20000,2025-09-20 14:28:49.383000000
893,110052,Seg.02,Mass Asp,25000 - 59000,2,80000,Chain,40000,2025-09-20 14:28:49.383000000
894,110052,Seg.01,Mass,0 - 25000,6,120000,Independent,20000,2025-09-20 14:28:49.383000000
895,110053,Seg.02,Mass Asp,25000 - 59000,8,400000,Independent,50000,2025-09-20 14:28:49.383000000
896,110054,Seg.02,Mass Asp,25000 - 59000,8,200000,Independent,25000,2025-09-20 14:28:49.383000000
897,110077,Seg.02,Mass Asp,25000 - 59000,1,25000,Chain,25000,2025-09-20 14:28:49.383000000
898,110077,Seg.01,Mass,0 - 25000,28,560000,Independent,20000,2025-09-20 14:28:49.383000000
899,110077,Seg.01,Mass,0 - 25000,1,20000,Street,20000,2025-09-20 14:28:49.383000000
900,110157,Seg.01,Mass,0 - 25000,26,312000,Street,12000,2025-09-20 14:28:49.383000000
901,110157,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
902,110158,Seg.01,Mass,0 - 25000,4,60000,Street,15000,2025-09-20 14:28:49.383000000
903,110158,Seg.02,Mass Asp,25000 - 59000,6,240000,Independent,40000,2025-09-20 14:28:49.383000000
904,110159,Seg.02,Mass Asp,25000 - 59000,20,1000000,Chain,50000,2025-09-20 14:28:49.383000000
905,110159,Seg.01,Mass,0 - 25000,10,100000,Street,10000,2025-09-20 14:28:49.383000000
906,110160,Seg.01,Mass,0 - 25000,20,240000,Street,12000,2025-09-20 14:28:49.383000000
907,110160,Seg.03,Premium,60000 - 99000,10,600000,Chain,60000,2025-09-20 14:28:49.383000000
908,110161,Seg.02,Mass Asp,25000 - 59000,10,500000,Chain,50000,2025-09-20 14:28:49.383000000
909,110161,Seg.01,Mass,0 - 25000,10,200000,Street,20000,2025-09-20 14:28:49.383000000
910,110162,Seg.01,Mass,0 - 25000,10,180000,Street,18000,2025-09-20 14:28:49.383000000
911,110162,Seg.02,Mass Asp,25000 - 59000,20,800000,Independent,40000,2025-09-20 14:28:49.383000000
912,110250,Seg.02,Mass Asp,25000 - 59000,24,1200000,Chain,50000,2025-09-20 14:28:49.383000000
913,110250,Seg.01,Mass,0 - 25000,6,120000,Street,20000,2025-09-20 14:28:49.383000000
914,110297,Seg.02,Mass Asp,25000 - 59000,2,60000,Independent,30000,2025-09-20 14:28:49.383000000
915,110371,Seg.01,Mass,0 - 25000,15,300000,Street,20000,2025-09-20 14:28:49.383000000
916,110386,Seg.04,Super Premium,100000+,2,200000,Chain,100000,2025-09-20 14:28:49.383000000
917,110388,Seg.01,Mass,0 - 25000,4,80000,Independent,20000,2025-09-20 14:28:49.383000000
918,110389,Seg.02,Mass Asp,25000 - 59000,2,70000,Chain,35000,2025-09-20 14:28:49.383000000
919,110391,Seg.02,Mass Asp,25000 - 59000,4,120000,Independent,30000,2025-09-20 14:28:49.383000000
920,110392,Seg.01,Mass,0 - 25000,14,280000,Street,20000,2025-09-20 14:28:49.383000000
921,110392,Seg.01,Mass,0 - 25000,10,140000,Independent,14000,2025-09-20 14:28:49.383000000
922,110394,Seg.01,Mass,0 - 25000,6,90000,Street,15000,2025-09-20 14:28:49.383000000
923,110394,Seg.01,Mass,0 - 25000,4,80000,Independent,20000,2025-09-20 14:28:49.383000000
924,110395,Seg.01,Mass,0 - 25000,13,208000,Street,16000,2025-09-20 14:28:49.383000000
925,110395,Seg.01,Mass,0 - 25000,7,140000,Independent,20000,2025-09-20 14:28:49.383000000
926,110396,Seg.02,Mass Asp,25000 - 59000,2,100000,Chain,50000,2025-09-20 14:28:49.383000000
